Name,Players Current Rating,Age,Recent Form ( No. of Goals ),Position,Opponent Team's Rating,Own Team's Rating,Venue,Target
benzema ,7.1,30,4,1,6.52,7.04,1,1
benzema,6.3,30,4,1,7.16,7.04,1,0
ronaldo,7.69,32,16,1,6.3,7.04,2,1
ronaldo,6.87,32,16,1,7.16,7.04,1,0
kroos,7.31,28,2,2,6.77,7.04,1,1
kroos,5.3,28,2,2,6.79,7.04,1,0
Escudero,6.06,28,1,3,6.68,6.77,1,0
Escudero,7.06,28,1,3,7.08,6.77,1,0
Joaquin,7.06,36,4,1,6.68,6.68,2,0
Joaquin,6.56,36,4,1,6.52,6.68,2,0
Sanabria,6.88,21,8,1,7.04,6.68,2,1
Sanabria,7.19,21,8,1,6.83,6.68,2,1
Jose,7.33,26,13,1,6.52,6.83,1,1
Jose,6.43,26,13,1,6.84,6.83,2,0
Prieto,5.98,34,2,2,6.77,6.83,2,0
prieto,5.33,34,2,2,6.72,6.83,2,0
bonaventura,6.81,28,3,2,6.49,6.73,2,1
bonaventura,5.49,28,3,2,6.9,6.73,2,0
bonucci,6.75,30,1,3,6.54,6.73,2,1
bonucci,6.1,30,1,3,6.53,6.73,2,0
ghoulam,5.93,26,2,3,6.94,6.93,2,0
ghoulam,6.27,26,2,3,6.94,6.93,1,0
kalidou,7.17,26,4,3,6.55,6.93,1,1
kalidou,7.69,26,4,3,6.79,6.93,2,1
Vidal,5.35,30,6,2,6.73,7.1,2,0
Vidal,7.53,30,6,2,6.8,7.1,2,1
Javi,7.31,29,2,2,6.88,7.1,2,1
Javi,7.36,29,2,2,6.45,7.1,2,1
Messi,6.59,30,25,1,6.95,7.16,2,0
Messi,8.62,30,25,1,6.77,7.16,1,1
Messi,7.78,30,25,1,6.83,7.16,2,1
Luis Suárez,6.44,30,15,1,7.01,7.16,2,0
Luis Suárez,7.29,30,15,1,6.77,7.16,2,1
Andrés Iniesta,6.03,33,1,2,7.04,7.16,2,0
Andrés Iniesta,6.23,33,1,2,6.62,7.16,1,0
Paulinho,7.59,29,17,2,6.62,7.16,1,1
Paulinho,6.15,29,17,2,6.96,7.16,2,0
Jordi Alba,7.28,28,2,3,6.96,7.16,2,1
Jordi Alba,6.14,28,2,3,6.56,7.16,2,0
Paulo Dybala,7.61,24,17,1,6.55,7.01,2,1
Paulo Dybala,6.4,24,17,1,6.61,7.01,1,0
Gonzalo Higuaín,7.27,30,16,1,6.64,7.01,1,1
Gonzalo Higuaín,6.83,30,16,1,6.93,7.01,2,1
Romelu Lukaku,7.46,24,18,1,6.9,7.04,1,1
Romelu Lukaku,6.31,24,18,1,6.77,7.04,2,0
Paul Pogba,5.9,24,3,2,6.97,7.04,1,0
Paul Pogba,6.07,24,3,2,6.65,7.04,1,0
Antonio Valencia,6.14,32,3,3,7.14,7.04,1,0
Antonio Valencia,5.88,32,3,3,7,7.04,2,0
Sergio Agüero,7.53,29,20,1,6.81,7.14,2,1
Sergio Agüero,5.79,29,20,1,7.08,7.14,1,0
Gotze,6.94,25,2,2,6.8,6.86,2,0
Gotze,7.69,25,2,2,6.86,6.86,2,1
Hazard,7.73,27,9,2,6.97,7,2,1
Hazard,5.25,27,9,2,6.64,7,1,0
Morata,6.37,25,12,1,6.97,7,2,0
Morata,5.31,25,12,1,6.77,7,1,0
Kane,8.01,24,30,1,6.68,6.99,1,1
Kane,6.22,24,30,1,6.68,6.99,2,0
Eriksen,7.25,25,8,2,7.14,6.99,2,1
Eriksen,6.1,25,8,2,6.73,6.99,1,0
D silva,7.49,32,5,2,6.56,7.14,2,1
D silva,5.39,32,5,2,6.81,7.14,1,0
J Mata,5.5,29,4,2,6.81,7.04,1,0
J Mata,6.32,29,4,2,6.68,7.04,1,0
Neymar,9.04,26,27,1,6.64,7.27,2,1
Neymar,6.38,26,27,1,6.69,7.27,2,0
Di Maria,7.13,29,14,2,6.78,7.27,1,1
Di Maria,5.93,29,14,2,7,7.27,2,0
Thiago Silva,5.99,33,0,3,6.78,7.27,2,0
Thiago Silva,7.28,33,0,3,6.64,7.27,1,0
Marquinhos,7.07,23,2,3,6.72,7.27,2,1
Marquinhos,7.7,23,2,3,6.71,7.27,2,1
James Rodriguez,7.44,26,4,2,6.67,7.13,2,1
James Rodriguez,6.13,26,4,2,6.66,7.13,1,0
Lewandowski,5.51,29,25,1,6.72,7.13,2,0
Lewandowski,7.51,29,25,1,6.74,7.13,1,1
Javi Martinez,7.31,29,2,3,6.91,7.13,2,1
Javi Martinez,6.11,29,2,3,6.72,7.13,2,0
Boetang,7.15,29,2,3,6.75,7.13,1,1
Boetang,6.89,29,2,3,6.74,7.13,1,0
Coutinho,5.86,25,16,2,6.6,7.16,1,0
Coutinho,7.96,25,16,2,6.97,7.16,2,1
Emre Can,7.26,24,3,3,6.56,7.05,2,1
Emre Can,5.93,24,3,3,6.6,7.05,2,0
Mohamed Salah,7.8,25,29,1,6.77,7.05,1,1
Mohamed Salah,6.88,25,29,1,6.6,7.05,2,0
Van Dijk,5.17,26,1,3,6.6,7.05,2,0
Van Dijk,7.13,26,11,3,6.64,7.05,1,1
Ramsey,7.3,27,7,2,6.64,6.97,1,1
Ramsey,6.4,27,7,2,6.6,6.97,2,0
Ozil,7.27,29,4,2,7.05,6.97,1,1
Ozil,7.58,29,4,2,6.68,6.97,1,1
Mustafi,6.42,25,2,3,6.97,6.97,1,0
Mustafi,5.36,25,2,3,6.68,6.97,2,0
Jose Gaya,5.99,22,0,3,6.7,6.88,2,0
Jose Gaya,5.87,22,0,3,6.78,6.88,1,0
Zaza,5.97,26,10,1,6.96,6.88,2,0
Zaza,6.21,26,10,1,7.08,6.88,1,0
Daniel Parejo,7.4,28,5,2,6.78,6.88,1,1
Daniel Parejo,6.5,28,5,2,6.96,6.88,2,0
Toni Lato,6.47,20,0,3,7.08,6.88,1,0
